Discipline,overallSport,Category,New
3x3 Basketball,Basketball,Team,Yes
Archery,Archery,Individual,No
Artistic Gymnastics,Gymnastics,Performance,No
Artistic Swimming,Aquatics,Performance,No
Athletics,Athletics,Individual,No
Badminton,Badminton,Racket Sport,No
Baseball/Softball,Baseball/Softball,Team,Yes
Basketball,Basketball,Team,No
Beach Volleyball,Volleyball,Team,No
Boxing,Boxing,Combat,No
Canoe Slalom,Canoeing/Kayaking,Race,No
Canoe Sprint,Canoeing/Kayaking,Race,No
Cycling BMX Freestyle,Cycling,Performance,No
Cycling BMX Racing,Cycling,Race,No
Cycling Mountain Bike,Cycling,Endurance,No
Cycling Road,Cycling,Endurance,No
Cycling Track,Cycling,Race,No
Diving,Aquatics,Performance,No
Equestrian,Equestrian,Combination,No
Fencing,Fencing,Combat,No
Football,Football,Team,No
Golf,Golf,Individual,No
Handball,Handball,Team,No
Hockey,Hockey,Team,No
Judo,Judo,Combat,No
Karate,Karate,Combat,Yes
Marathon Swimming,Aquatics,Endurance,No
Modern Pentathlon,Modern Pentathlon,Individual,No
Rhythmic Gymnastics,Gymnastics,Performance,No
Rowing,Rowing,Race,No
Rugby Sevens,Rugby Sevens,Team,No
Sailing,Sailing,Endurance,No
Shooting,Shooting,Individual,No
Skateboarding,Skateboarding,Performance,Yes
Sport Climbing,Sport Climbing,Individual,Yes
Surfing,Surfing,Performance,Yes
Swimming,Aquatics,Race,No
Table Tennis,Table Tennis,Racket Sport,No
Taekwondo,Taekwondo,Combat,No
Tennis,Tennis,Racket Sport,No
Trampoline Gymnastics,Gymnastics,Performance,No
Triathlon,Triathlon,Endurance,No
Volleyball,Volleyball,Team,No
Water Polo,Aquatics,Team,No
Weightlifting,Weightlifting,Individual,No
Wrestling,Wrestling,Combat,No
